Date,Ticker,TimeBarStart,OpenBarTime,OpenBidPrice,OpenBidSize,OpenAskPrice,OpenAskSize,FirstTradeTime,FirstTradePrice,FirstTradeSize,HighBidTime,HighBidPrice,HighBidSize,HighAskTime,HighAskPrice,HighAskSize,HighTradeTime,HighTradePrice,HighTradeSize,LowBidTime,LowBidPrice,LowBidSize,LowAskTime,LowAskPrice,LowAskSize,LowTradeTime,LowTradePrice,LowTradeSize,CloseBarTime,CloseBidPrice,CloseBidSize,CloseAskPrice,CloseAskSize,LastTradeTime,LastTradePrice,LastTradeSize,MinSpread,MaxSpread,CancelSize,VolumeWeightPrice,NBBOQuoteCount,TradeAtBid,TradeAtBidMid,TradeAtMid,TradeAtMidAsk,TradeAtAsk,TradeAtCrossOrLocked,Volume,TotalTrades,FinraVolume,FinraVolumeWeightPrice,UptickVolume,DowntickVolume,RepeatUptickVolume,RepeatDowntickVolume,UnknownTickVolume,TradeToMidVolWeight,TradeToMidVolWeightRelative,TimeWeightBid,TimeWeightAsk
20200131,SPY,04:00,04:00:00.000000000,,,,,04:00:00.017290596,327.33,630,04:00:53.355562990,327.40,300,04:00:00.003836371,327.80,300,04:00:36.977032363,327.34,100,04:00:00.003812465,326.90,0,04:00:06.634956939,327.26,3000,04:00:06.647103654,327.21,100,04:00:59.999999999,327.40,600,327.46,3700,04:00:39.365626759,327.32,15,0.02,0.90,,327.31914,607,15,830,101,0,0,0,946,6,0,,100,115,100,1,630,-1.61469,-0.04387,327.29669,327.37862
20200131,SPY,04:01,04:01:00.000000000,327.40,600,327.46,3700,04:01:11.018653329,327.45,34,04:01:25.259270325,327.46,500,04:01:25.259275792,327.51,500,04:01:23.188439374,327.48,100,04:01:49.263190104,327.30,700,04:01:44.061980898,327.38,500,04:01:43.987515216,327.39,5,04:01:59.999999999,327.34,600,327.38,4700,04:01:43.987515216,327.39,5,0.01,0.08,,327.46879,572,0,0,0,39,110,0,149,4,0,,134,15,0,0,0,1.77181,0.43736,327.39998,327.44076
20200131,SPY,04:02,04:02:00.000000000,327.34,600,327.38,4700,04:02:40.412723390,327.43,40,04:02:58.600659993,327.44,500,04:02:58.600802494,327.48,500,04:02:58.600933746,327.44,100,04:02:09.662357155,327.31,1000,04:02:06.708542737,327.35,2500,04:02:45.125079540,327.40,10,04:02:59.999999999,327.44,1600,327.48,4700,04:02:58.600933746,327.44,100,0.01,0.07,,327.43437,480,100,0,0,0,60,0,160,4,0,,150,10,0,0,0,-0.65625,-0.125,327.3603,327.39898
20200131,SPY,04:03,04:03:00.000000000,327.44,1600,327.48,4700,04:03:20.121397472,327.43,25,04:03:01.702872971,327.46,500,04:03:04.168576518,327.58,700,04:03:20.121397472,327.43,25,04:03:16.452589813,327.36,700,04:03:10.340424630,327.43,500,04:03:20.121397472,327.43,25,04:03:59.999999999,327.44,1400,327.48,4700,04:03:20.121397472,327.43,25,0.01,0.13,,327.43,748,0,0,0,0,25,0,25,1,0,,0,25,0,0,0,2.00,0.50,327.4138,327.45551
20200131,SPY,04:04,04:04:00.000000000,327.44,1400,327.48,4700,04:04:04.009716669,327.47,25,04:04:06.021263628,327.48,300,04:04:06.021869573,327.52,1700,04:04:04.009716669,327.47,25,04:04:13.770429603,327.42,1600,04:04:14.317644254,327.45,300,04:04:47.485096567,327.44,50,04:04:59.999999999,327.42,600,327.46,5300,04:04:47.485096567,327.44,50,0.01,0.06,,327.45,822,50,50,0,0,25,0,125,3,0,,25,100,0,0,0,-1.00,-0.20,327.44205,327.48278
20200131,SPY,04:05,04:05:00.000000000,327.42,600,327.46,5300,04:05:53.275645810,327.39,100,04:05:00.573952623,327.45,300,04:05:00.574323116,327.48,5400,04:05:55.136280828,327.43,1,04:05:34.069280244,327.37,200,04:05:50.251247256,327.40,100,04:05:53.275645810,327.39,100,04:05:59.999999999,327.39,900,327.43,4600,04:05:55.136280828,327.43,1,0.01,0.07,,327.3904,486,100,0,0,0,1,0,101,2,0,,1,100,0,0,0,-1.46535,-0.4901,327.39679,327.43561
20200131,SPY,04:06,04:06:00.000000000,327.39,900,327.43,4600,04:06:23.125249167,327.37,15,04:06:00.107127091,327.44,500,04:06:00.029475054,327.45,100,04:06:23.125249167,327.37,15,04:06:51.877594947,327.24,2100,04:06:51.877144109,327.27,300,04:06:51.292861586,327.29,377,04:06:59.999999999,327.26,3900,327.31,3700,04:06:51.293209777,327.29,377,0.01,0.07,,327.29177,988,20,0,377,0,392,0,789,4,0,,0,412,0,377,0,0.26426,0.24525,327.33056,327.36933
20200131,SPY,04:07,04:07:00.000000000,327.26,3900,327.31,3700,04:07:04.356712379,327.29,200,04:07:56.780262585,327.39,300,04:07:56.560736253,327.41,1500,04:07:04.356712379,327.29,200,04:07:10.369963483,327.24,2300,04:07:10.365018571,327.28,300,04:07:04.356712379,327.29,200,04:07:59.999999999,327.35,600,327.38,4700,04:07:04.356712379,327.29,200,0.01,0.06,,327.29,724,200,0,0,0,0,0,200,1,0,,0,0,0,200,0,-2.00,-0.50,327.30171,327.3413
20200131,SPY,04:08,04:08:00.000000000,327.35,600,327.38,4700,04:08:28.098594838,327.40,30,04:08:28.095400622,327.40,300,04:08:16.628323346,327.41,5300,04:08:28.098594838,327.40,30,04:08:49.394088834,327.32,600,04:08:49.616847523,327.34,300,04:08:28.098594838,327.40,30,04:08:59.999999999,327.40,600,327.41,100,04:08:28.098594838,327.40,30,0.01,0.06,,327.40,604,30,0,0,0,0,0,30,1,0,,30,0,0,0,0,-0.50,-0.50,327.35784,327.39554
20200131,SPY,04:09,04:09:00.000000000,327.40,600,327.41,100,04:09:07.636138489,327.40,100,04:09:01.582670879,327.41,300,04:09:01.588015498,327.43,100,04:09:07.636138489,327.40,100,04:09:47.545661001,327.32,600,04:09:47.545452249,327.35,300,04:09:39.506719697,327.38,100,04:09:59.999999999,327.34,6300,327.38,4700,04:09:39.506719697,327.38,100,0.01,0.06,,327.39333,502,100,0,0,100,100,0,300,3,0,,0,100,200,0,0,0.33333,0.05556,327.36807,327.4019
